gene	biol_replicate	sugar	strain	day	CT	run	Sample Name	Ct_mean_ref	dCt	dCt_mean_gluc	ddCt	2^-ddCt
yihV	1	G	Nissle	day1_1	24.7	1	Nissle_yihV_G1	9.475	15.225	14.875	0.34999999999999964	0.785
yihV	1	G	Nissle	day2_4	25.2	2	Nissle_yihV_G1	8.575	16.625	16.724999999999998	-0.09999999999999787	1.072
yihV	1	G	Nissle	day2_2	25.5	2	Nissle_yihV_G1	8.575	16.925	16.724999999999998	0.20000000000000284	0.871
yihV	1	G	Nissle	day1_4	24.2	1	Nissle_yihV_G1	9.475	14.725	14.875	-0.15000000000000036	1.11
yihV	1	G	Nissle	day1_3	24.3	1	Nissle_yihV_G1	9.475	14.825000000000001	14.875	-0.049999999999998934	1.035
yihV	1	G	Nissle	day1_2	24.2	1	Nissle_yihV_G1	9.475	14.725	14.875	-0.15000000000000036	1.11
yihV	1	Lac	Nissle	day2_3	25.9	2	Nissle_yihV_Lac1	9.9	15.999999999999998	16.724999999999998	-0.7249999999999996	1.653
yihV	1	Lac	Nissle	day1_4	24.6	1	Nissle_yihV_Lac1	9.975	14.625000000000002	14.875	-0.24999999999999822	1.189
yihV	1	Lac	Nissle	day1_2	24.9	1	Nissle_yihV_Lac1	9.975	14.924999999999999	14.875	0.049999999999998934	0.966
yihV	1	Lac	Nissle	day2_2	26.0	2	Nissle_yihV_Lac1	9.9	16.1	16.724999999999998	-0.6249999999999964	1.542
yihV	1	Lac	Nissle	day2_4	25.7	2	Nissle_yihV_Lac1	9.9	15.799999999999999	16.724999999999998	-0.9249999999999989	1.899
yihV	1	Lac	Nissle	day1_3	25.2	1	Nissle_yihV_Lac1	9.975	15.225	14.875	0.34999999999999964	0.785
yihV	1	Lac	Nissle	day1_1	24.2	1	Nissle_yihV_Lac1	9.975	14.225	14.875	-0.6500000000000004	1.569
yihV	1	SQ	Nissle	day2_4	28.5	2	Nissle_yihV_SQ1	10.95	17.55	16.724999999999998	0.8250000000000028	0.564
yihV	1	SQ	Nissle	day1_1	27.3	1	Nissle_yihV_SQ1	11.299999999999999	16.0	14.875	1.125	0.459
yihV	1	SQ	Nissle	day1_3	26.7	1	Nissle_yihV_SQ1	11.299999999999999	15.4	14.875	0.5250000000000004	0.695
yihV	1	SQ	Nissle	day1_4	27.1	1	Nissle_yihV_SQ1	11.299999999999999	15.800000000000002	14.875	0.9250000000000025	0.527
yihV	1	SQ	Nissle	day2_2	27.7	2	Nissle_yihV_SQ1	10.95	16.75	16.724999999999998	0.02500000000000213	0.983
yihV	1	SQ	Nissle	day2_3	28.4	2	Nissle_yihV_SQ1	10.95	17.45	16.724999999999998	0.7250000000000014	0.605
yihV	1	SQ	Nissle	day1_2	27.2	1	Nissle_yihV_SQ1	11.299999999999999	15.9	14.875	1.0250000000000004	0.491
yihW	1	G	Nissle	day1_2	23.7	1	Nissle_yihW_G1	9.475	14.225	14.2	0.025000000000000355	0.983
yihW	1	G	Nissle	day2_1	24.3	2	Nissle_yihW_G1	8.575	15.725000000000001	15.675	0.05000000000000071	0.966
yihW	1	G	Nissle	day1_3	23.5	1	Nissle_yihW_G1	9.475	14.025	14.2	-0.17499999999999893	1.129
yihW	1	G	Nissle	day1_1	24.0	1	Nissle_yihW_G1	9.475	14.525	14.2	0.32500000000000107	0.798
yihW	1	G	Nissle	day2_2	24.3	2	Nissle_yihW_G1	8.575	15.725000000000001	15.675	0.05000000000000071	0.966
yihW	1	G	Nissle	day2_3	24.2	2	Nissle_yihW_G1	8.575	15.625	15.675	-0.05000000000000071	1.035
yihW	1	G	Nissle	day1_4	23.5	1	Nissle_yihW_G1	9.475	14.025	14.2	-0.17499999999999893	1.129
yihW	1	G	Nissle	day2_4	24.2	2	Nissle_yihW_G1	8.575	15.625	15.675	-0.05000000000000071	1.035
yihW	1	Lac	Nissle	day2_3	24.4	2	Nissle_yihW_Lac1	9.9	14.499999999999998	15.675	-1.1750000000000025	2.258
yihW	1	Lac	Nissle	day2_4	24.3	2	Nissle_yihW_Lac1	9.9	14.4	15.675	-1.2750000000000004	2.42
yihW	1	Lac	Nissle	day2_2	24.2	2	Nissle_yihW_Lac1	9.9	14.299999999999999	15.675	-1.3750000000000018	2.594
yihW	1	Lac	Nissle	day1_2	23.6	1	Nissle_yihW_Lac1	9.975	13.625000000000002	14.2	-0.5749999999999975	1.49
yihW	1	Lac	Nissle	day1_4	23.3	1	Nissle_yihW_Lac1	9.975	13.325000000000001	14.2	-0.8749999999999982	1.834
yihW	1	Lac	Nissle	day1_3	23.6	1	Nissle_yihW_Lac1	9.975	13.625000000000002	14.2	-0.5749999999999975	1.49
yihW	1	Lac	Nissle	day1_1	23.8	1	Nissle_yihW_Lac1	9.975	13.825000000000001	14.2	-0.3749999999999982	1.297
yihW	1	Lac	Nissle	day2_1	24.2	2	Nissle_yihW_Lac1	9.9	14.299999999999999	15.675	-1.3750000000000018	2.594
yihW	1	SQ	Nissle	day2_4	26.5	2	Nissle_yihW_SQ1	10.95	15.55	15.675	-0.125	1.091
yihW	1	SQ	Nissle	day2_3	26.4	2	Nissle_yihW_SQ1	10.95	15.45	15.675	-0.22500000000000142	1.169
yihW	1	SQ	Nissle	day2_2	26.5	2	Nissle_yihW_SQ1	10.95	15.55	15.675	-0.125	1.091
yihW	1	SQ	Nissle	day2_1	26.0	2	Nissle_yihW_SQ1	10.95	15.05	15.675	-0.625	1.542
yihW	1	SQ	Nissle	day1_4	25.2	1	Nissle_yihW_SQ1	11.299999999999999	13.9	14.2	-0.29999999999999893	1.231
yihW	1	SQ	Nissle	day1_3	25.3	1	Nissle_yihW_SQ1	11.299999999999999	14.000000000000002	14.2	-0.1999999999999975	1.149
yihW	1	SQ	Nissle	day1_2	25.6	1	Nissle_yihW_SQ1	11.299999999999999	14.300000000000002	14.2	0.1000000000000032	0.933
yihW	1	SQ	Nissle	day1_1	25.7	1	Nissle_yihW_SQ1	11.299999999999999	14.4	14.2	0.20000000000000107	0.871
yihP	1	G	K12	day2_4	22.9	2	wt_yihP_G1	10.0	12.899999999999999	12.450000000000001	0.4499999999999975	0.732
yihP	1	G	K12	day2_2	22.6	2	wt_yihP_G1	10.0	12.600000000000001	12.450000000000001	0.15000000000000036	0.901
yihP	1	G	K12	day2_3	21.7	2	wt_yihP_G1	10.0	11.7	12.450000000000001	-0.7500000000000018	1.682
yihP	1	G	K12	day2_1	22.6	2	wt_yihP_G1	10.0	12.600000000000001	12.450000000000001	0.15000000000000036	0.901
yihP	1	G	K12	day1_3	21.7	1	wt_yihP_G1	10.25	11.45	11.424999999999999	0.025000000000000355	0.983
yihP	1	G	K12	day1_2	21.5	1	wt_yihP_G1	10.25	11.25	11.424999999999999	-0.17499999999999893	1.129
